Student_ID,Nama,Program,IPK,IELTS,Preferensi_1,Preferensi_2,Preferensi_3
BINUS064,Student_64,IR,2.91,5.5,University of Birmingham,Tilburg University,Dalhousie University
BINUS065,Student_65,CS,3.22,7.0,Osaka University,Kobe University,Oxford Brookes University
BINUS066,Student_66,IBM,3.92,7.0,Leeds Beckett University,University of Toulouse,University of Jena
BINUS067,Student_67,IBM,3.09,7.5,University of Chicago,University of Portsmouth,Aston University
BINUS068,Student_68,IR,3.04,7.5,Western University,American University in Dubai,Grenoble INP
BINUS069,Student_69,CS,3.1,6.0,University College London,Goethe University,UQTR
BINUS070,Student_70,CS,2.82,5.5,University of Exeter,University of Sherbrooke,University of Liverpool
BINUS071,Student_71,IR,3.51,6.5,University of Salford,Utrecht University,Loughborough University
BINUS072,Student_72,CS,3.21,8.0,Australian National University,University of Westminster,Sun Yat-sen University
BINUS073,Student_73,IBM,2.74,6.5,Oxford Brookes University,University of Minnesota,University of Sydney
BINUS074,Student_74,IR,3.31,6.5,UCLA,IIT Pune,Coventry University
BINUS075,Student_75,CS,3.85,6.5,University of Essex,McGill University,University of Ottawa
BINUS076,Student_76,IR,2.55,7.0,King's College London,Northumbria University,Southern Cross University
BINUS077,Student_77,CS,3.01,6.0,University of Manitoba,Texas A&M University,MIT
BINUS078,Student_78,CS,2.85,8.0,UQTR,UNIMAS,University of Salford
BINUS079,Student_79,CS,3.97,6.5,University of Southampton,University of Nottingham,Australian National University
BINUS080,Student_80,CS,3.16,7.5,Indian Institute of Science,University of Westminster,University of Lille
